GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exo12,org.example.exo12.service,ReservationService,5,119,2,10,1,21,3,12,1,8
Exo12,org.example.exo12.service,RoomService,19,15,0,0,3,4,3,2,3,2
Exo12,org.example.exo12,Exo12Application,5,3,0,0,2,1,1,1,1,1
Exo12,org.example.exo12.repository,InMemoryRoomRepository,7,24,0,0,1,5,1,3,1,3
Exo12,org.example.exo12.repository,InMemoryReservationRepository,7,40,0,0,1,8,1,5,1,5
Exo12,org.example.exo12.exception,RoomNotFoundException,0,4,0,0,0,2,0,1,0,1
Exo12,org.example.exo12.exception,ReservationNotFoundException,0,4,0,0,0,2,0,1,0,1
Exo12,org.example.exo12.exception,GlobalExceptionHandler,5,32,1,1,1,6,2,4,1,4
Exo12,org.example.exo12.exception,ReservationConflictException,0,4,0,0,0,2,0,1,0,1
Exo12,org.example.exo12.model,ReservationStatus,0,15,0,0,0,2,0,1,0,1
Exo12,org.example.exo12.model,Reservation,0,44,0,0,0,15,0,8,0,8
Exo12,org.example.exo12.model,Room,0,22,0,0,0,8,0,4,0,4
Exo12,org.example.exo12.controller,RoomController,0,18,0,0,0,5,0,3,0,3
Exo12,org.example.exo12.controller,ReservationController,0,28,0,0,0,10,0,4,0,4
Exo12,org.example.exo12.dto,CreateRoomRequest,0,17,0,0,0,5,0,5,0,5
Exo12,org.example.exo12.dto,CreateReservationRequest,0,31,0,0,0,9,0,9,0,9
Exo12,org.example,Main,21,0,2,0,5,0,3,0,2,0
