GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exo6,org.example,Main,21,0,2,0,5,0,3,0,2,0
Exo6,org.example.exo6,NotFoundException,0,4,0,0,0,2,0,1,0,1
Exo6,org.example.exo6,RechercheVille,0,110,1,7,0,10,1,6,0,3
