GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exo8,org.example.exo8.model,Reservation,0,33,0,0,0,12,0,6,0,6
Exo8,org.example.exo8.model,Salle,6,15,0,0,2,6,2,2,2,2
Exo8,org.example.exo8.model,ConfirmationReservation,12,21,0,0,4,8,4,2,4,2
Exo8,org.example,Main,21,0,2,0,5,0,3,0,2,0
Exo8,org.example.exo8.service,ReservationService,0,106,1,11,0,26,1,7,0,2
Exo8,org.example.exo8.service,ReservationRefuseeException,0,4,0,0,0,2,0,1,0,1
